timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727789747.9888167,2597.6400000000003,2597.46,2597.82,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727789778.4220386,2597.075,2597.07,2597.08,500,500,0,0,0,"(2519.2000000000003, 226.026)","(2750.0, 246.668)",0,0.0
1727789808.8676155,2596.915,2596.91,2596.92,500,500,"(-1.0, 1727789792.079411)","(-0.26338646221537887, 1727789791.909871)","(-1.0, 1727789792.079411)","(2408.0, 251.353)","(2750.0, 246.668)",2,0.016963779999999998
1727789839.4464467,2591.29,2590.96,2591.62,500,500,"(-1.0, 1727789831.499195)","(-0.06892876508752997, 1727789820.752148)","(-1.0, 1727789831.499195)","(2408.0, 251.353)","(2658.2000000000003, 228.536)",10,0.11832288
1727789870.0313902,2590.125,2590.12,2590.13,500,500,"(-0.2615262231427763, 1727789859.339856)","(0.36923688842861185, 1727789849.548841)","(-0.2615262231427763, 1727789859.339856)","(2408.0, 251.353)","(2656.6000000000004, 228.382)",2,0.02569467
1727789900.4654775,2590.3450000000003,2590.14,2590.55,500,500,"(1.0, 1727789893.645076)","(1.0, 1727789893.645076)","(0.0009815147501573095, 1727789893.645076)","(2538.6000000000004, 228.72)","(2616.2000000000003, 261.42900000000003)",3,2.91915124
1727789930.914725,2590.125,2590.12,2590.13,500,500,0,0,0,"(2408.0, 251.353)","(2750.0, 246.668)",0,0.0
1727789961.4530642,2587.295,2587.29,2587.3,500,500,"(-0.010010616333522192, 1727789955.250866)","(-0.010010616333522192, 1727789955.250866)","(-0.5050053081667611, 1727789953.566022)","(2510.0, 217.953)","(2750.0, 246.668)",2,0.00767685
1727789991.8822176,2586.8050000000003,2586.56,2587.05,500,500,"(-1.0, 1727789972.394866)","(-0.9996619699730401, 1727789971.123353)","(-1.0, 1727789972.394866)","(2408.0, 251.353)","(2611.8, 274.002)",2,0.01940656
1727790022.382165,2582.355,2582.15,2582.56,500,500,"(0.19077265095502552, 1727790014.056279)","(0.19077265095502552, 1727790014.056279)","(-0.40461367452248714, 1727790008.328243)","(2408.0, 251.353)","(2646.4, 228.434)",5,0.038630380000000006
1727790052.9643722,2580.725,2580.72,2580.73,500,500,"(-1.0, 1727790047.275063)","(-1.0, 1727790047.275063)","(-1.0, 1727790047.275063)","(2408.0, 251.353)","(2608.6000000000004, 261.526)",1,0.01089028
