timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727718610.921103,2603.9049999999997,2603.9,2603.91,500,500,"(0.5478857815081825, 1727718607.936235)","(0.5478857815081825, 1727718607.936235)","(-0.22605710924590874, 1727718599.559913)","(2497.0, 1000.0)","(2604.0, 428.969)",7,2.5841700000000003
1727718641.5722408,2603.9049999999997,2603.9,2603.91,500,500,"(0.8593490657847044, 1727718631.176412)","(0.8593490657847044, 1727718631.176412)","(-0.07032546710764787, 1727718623.656337)","(2497.0, 1000.0)","(2608.2000000000003, 243.409)",3,2.15129051
1727718672.2429454,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2605.0, 216.83499999999998)",0,0.0
1727718702.7826595,2604.1949999999997,2604.19,2604.2,500,500,"(-0.8068018222068927, 1727718694.171774)","(-0.8068018222068927, 1727718694.171774)","(-0.9034009111034463, 1727718680.095602)","(2497.0, 1000.0)","(2630.6000000000004, 213.208)",2,0.71950337
1727718733.465562,2604.1949999999997,2604.19,2604.2,500,500,"(-0.94861582958075, 1727718716.7564)","(0.025692085209625033, 1727718713.305867)","(-0.94861582958075, 1727718716.7564)","(2497.0, 1000.0)","(2631.6000000000004, 261.776)",3,0.27737336
1727718764.2212093,2604.1949999999997,2604.19,2604.2,500,500,"(-0.874458490752872, 1727718757.036366)","(-0.874458490752872, 1727718757.036366)","(-0.9372292453764359, 1727718735.641214)","(2497.0, 1000.0)","(2631.6000000000004, 261.776)",2,0.08472847
1727718794.9894035,2604.1949999999997,2604.19,2604.2,500,500,0,0,0,"(2497.0, 1000.0)","(2604.8, 296.93699999999995)",0,0.0
1727718825.6489751,2604.185,2604.18,2604.19,500,500,"(1.0, 1727718814.770528)","(1.0, 1727718814.770528)","(0.8409496632020765, 1727718808.654423)","(2497.0, 1000.0)","(2631.6000000000004, 402.74699999999996)",2,0.22778643999999998
1727718856.2683322,2604.185,2604.18,2604.19,500,500,"(1.0, 1727718837.017426)","(1.0, 1727718837.017426)","(0.6674405958297811, 1727718837.017426)","(2497.0, 1000.0)","(2632.0, 212.749)",2,0.012890929999999998
1727718886.9627557,2604.185,2604.18,2604.19,500,500,0,0,0,"(2497.0, 1000.0)","(2632.0, 223.516)",0,0.0
1727718917.6847775,2604.185,2604.18,2604.19,500,500,0,0,0,"(2497.0, 1000.0)","(2631.2000000000003, 220.964)",0,0.0
1727718948.3221562,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2604.0, 328.126)",0,0.0
1727718979.1003249,2603.9049999999997,2603.9,2603.91,500,500,"(1.0, 1727718948.863933)","(1.0, 1727718948.863933)","(1.0, 1727718948.863933)","(2497.0, 1000.0)","(2631.6000000000004, 189.992)",1,0.00746469
1727719009.6590586,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2604.0, 327.562)",0,0.0
1727719040.3665285,2603.9049999999997,2603.9,2603.91,500,500,"(-1.0, 1727719012.097351)","(-1.0, 1727719012.097351)","(-1.0, 1727719012.097351)","(2497.0, 1000.0)","(2604.0, 434.874)",1,0.1357096
1727719070.9551322,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2604.0, 454.932)",0,0.0
1727719101.4758942,2603.9049999999997,2603.9,2603.91,500,500,"(-0.8425162138671561, 1727719096.946295)","(0.07874189306642189, 1727719088.629567)","(-0.8425162138671561, 1727719096.946295)","(2497.0, 1000.0)","(2629.6000000000004, 227.934)",5,0.33132287
1727719132.010972,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2629.4, 271.501)",0,0.0
1727719162.5270183,2603.9049999999997,2603.9,2603.91,500,500,0,0,0,"(2497.0, 1000.0)","(2605.8, 292.05899999999997)",0,0.0
1727719193.145484,2605.8050000000003,2605.8,2605.81,500,500,"(0.9860127232179647, 1727719184.514773)","(0.9860127232179647, 1727719184.514773)","(3.769741649566138e-05, 1727719165.397644)","(2497.0, 1000.0)","(2632.6000000000004, 213.599)",22,50.66235773000001
1727719223.919362,2606.8050000000003,2606.8,2606.81,500,500,"(-0.8869147411005599, 1727719219.312908)","(0.0076526835142133095, 1727719199.31811)","(-0.8911986063517849, 1727719204.725972)","(2497.0, 1000.0)","(2633.2000000000003, 212.769)",14,1.42581749
1727719254.5719142,2606.8050000000003,2606.8,2606.81,500,500,"(0.1701183745709611, 1727719249.673837)","(0.1701183745709611, 1727719249.673837)","(-0.4149408127145195, 1727719241.41011)","(2497.0, 1000.0)","(2633.2000000000003, 212.203)",3,0.78029343
1727719285.2705154,2606.8050000000003,2606.8,2606.81,500,500,"(-1.0, 1727719261.771153)","(-0.6733081763401403, 1727719260.659806)","(-1.0, 1727719261.771153)","(2497.0, 1000.0)","(2632.0, 212.74)",2,0.5881996
1727719315.8289404,2605.395,2605.39,2605.4,500,500,"(0.25428646045110886, 1727719313.611186)","(0.25428646045110886, 1727719313.611186)","(-0.3728567697744456, 1727719285.114207)","(2497.0, 1000.0)","(2655.8, 380.052)",5,0.34787385
1727719346.4130235,2605.745,2605.74,2605.75,500,500,"(-1.0, 1727719334.095227)","(-1.0, 1727719334.095227)","(-1.0, 1727719334.095227)","(2497.0, 1000.0)","(2655.8, 380.052)",1,0.39169016
1727719377.0243683,2605.745,2605.74,2605.75,500,500,"(-1.0, 1727719346.549055)","(-1.0, 1727719346.549055)","(-1.0, 1727719346.549055)","(2497.0, 1000.0)","(2655.8, 380.052)",1,0.03015409
1727719407.65984,2606.8050000000003,2606.8,2606.81,500,500,"(-1.0, 1727719386.410869)","(-0.06829615762673832, 1727719381.849703)","(-1.0, 1727719386.410869)","(2497.0, 1000.0)","(2631.6000000000004, 403.1)",3,0.7529971200000001
1727719438.2718482,2606.8050000000003,2606.8,2606.81,500,500,"(1.0, 1727719421.193841)","(1.0, 1727719421.193841)","(1.0, 1727719421.193841)","(2497.0, 1000.0)","(2655.8, 380.052)",1,0.01263458
1727719468.8023267,2606.8050000000003,2606.8,2606.81,500,500,"(0.9945804140001822, 1727719455.034702)","(0.9972902070000911, 1727719445.184681)","(0.2673541205237296, 1727719440.4608)","(2497.0, 1000.0)","(2655.8, 380.052)",3,1.4615138499999998
1727719499.3094234,2606.8050000000003,2606.8,2606.81,500,500,0,0,0,"(2497.0, 1000.0)","(2655.8, 380.052)",0,0.0
1727719529.976563,2606.8050000000003,2606.8,2606.81,500,500,0,0,0,"(2497.0, 1000.0)","(2655.8, 380.052)",0,0.0
1727719560.6514437,2606.8050000000003,2606.8,2606.81,500,500,0,0,0,"(2497.0, 1000.0)","(2606.8, 446.843)",0,0.0
1727719591.1370742,2603.115,2603.11,2603.12,500,500,"(-0.8760730908517464, 1727719572.60143)","(-0.13916790516121497, 1727719562.089338)","(-0.9380365454258732, 1727719562.254564)","(2497.0, 1000.0)","(2642.2000000000003, 410.089)",4,0.06455418
1727719622.0636487,2600.625,2600.62,2600.63,500,500,"(0.9366041774043342, 1727719616.39036)","(0.9683020887021672, 1727719614.72144)","(0.016007445205405636, 1727719607.005147)","(2497.0, 1000.0)","(2642.2000000000003, 410.089)",3,0.06309564
1727719652.6697733,2599.175,2599.17,2599.18,500,500,"(-0.8865464776095555, 1727719645.575864)","(0.006162664282418869, 1727719623.445095)","(-0.9371105745223589, 1727719634.053205)","(2497.0, 1000.0)","(2599.2000000000003, 529.161)",6,0.30744008000000006
1727719683.415584,2598.2650000000003,2598.26,2598.27,500,500,"(-0.4101920285724852, 1727719680.335793)","(-0.060118174897577925, 1727719665.214259)","(-0.7050960142862427, 1727719675.187213)","(2497.0, 1000.0)","(2642.2000000000003, 410.089)",14,0.9980342899999999
1727719714.01791,2598.2650000000003,2598.26,2598.27,500,500,"(-1.0, 1727719699.064673)","(-1.0, 1727719699.064673)","(-1.0, 1727719699.064673)","(2497.0, 1000.0)","(2642.2000000000003, 410.089)",1,0.01606083
1727719744.73735,2599.605,2599.6,2599.61,500,500,"(0.9999999999999998, 1727719742.351871)","(0.9999999999999998, 1727719742.351871)","(0.0065683338792056675, 1727719725.764131)","(2497.0, 1000.0)","(2642.2000000000003, 410.089)",16,5.328596360000001
1727720462.5300398,2582.255,2582.25,2582.26,500,500,"(-0.7329725353833568, 1727720453.540533)","(-0.001732972535383357, 1727720441.326844)","(-0.8664862676916785, 1727720441.326845)","(2497.0, 1000.0)","(2633.8, 406.19800000000004)",11,1.1540863799999999
1727720493.130034,2582.255,2582.25,2582.26,500,500,"(0.3404248926897806, 1727720492.76304)","(0.5526709185132792, 1727720474.804538)","(0.20962525840546192, 1727720474.804538)","(2497.0, 1000.0)","(2625.4, 406.158)",5,1.4019634
1727720523.6434038,2580.775,2580.77,2580.78,500,500,"(-0.9984318432543281, 1727720509.697932)","(-0.2548254711717082, 1727720497.432111)","(-0.9992159216271641, 1727720506.934006)","(2497.0, 1000.0)","(2620.0, 517.069)",5,2.55076542
1727720554.1584902,2581.0550000000003,2580.9,2581.21,500,500,"(-0.9204641045336674, 1727720552.032988)","(-0.04762028284383193, 1727720529.799484)","(-0.9568101044571474, 1727720534.656434)","(2497.0, 1000.0)","(2621.0, 405.688)",11,5.249863820000001
1727720585.122595,2581.375,2581.37,2581.38,500,500,"(-0.9869570504858055, 1727720582.94134)","(0.0065214747570972245, 1727720575.102426)","(-0.9869570504858055, 1727720582.94134)","(2497.0, 1000.0)","(2621.0, 405.688)",4,5.9402162
1727720615.7265716,2581.375,2581.37,2581.38,500,500,"(1.0, 1727720608.273437)","(1.0, 1727720608.273437)","(1.0, 1727720608.273437)","(2497.0, 1000.0)","(2625.4, 406.158)",1,0.03764922
1727720646.1955857,2583.005,2583.0,2583.01,500,500,"(1.0, 1727720628.585402)","(1.0, 1727720628.585402)","(0.8565734134402437, 1727720618.794882)","(2497.0, 1000.0)","(2628.0, 380.052)",3,5.793258000000001
1727720676.7718225,2583.005,2583.0,2583.01,500,500,0,0,0,"(2497.0, 1000.0)","(2628.0, 380.052)",0,0.0
1727720710.959947,2584.775,2584.77,2584.78,500,500,"(-0.6426446919891384, 1727720704.8569)","(0.1288315497656512, 1727720689.903853)","(-0.6720993206939969, 1727720690.87288)","(2497.0, 1000.0)","(2628.0, 380.052)",12,12.138638500000003
1727720741.6837354,2588.475,2588.47,2588.48,500,500,"(0.04963660552610462, 1727720739.379637)","(0.5248183027630524, 1727720734.529457)","(0.04963660552610462, 1727720739.379637)","(2497.0, 1000.0)","(2720.0, 459.96500000000003)",28,3.70927077
1727720772.192715,2588.105,2588.1,2588.11,500,500,"(1.0, 1727720758.369727)","(1.0, 1727720758.369727)","(0.15458777921311198, 1727720758.369727)","(2497.0, 1000.0)","(2588.2000000000003, 448.19)",2,0.04664806
1727720802.8448975,2588.105,2588.1,2588.11,500,500,"(-1.0, 1727720789.510924)","(-0.02377746153846154, 1727720789.510924)","(-1.0, 1727720789.510924)","(2497.0, 1000.0)","(2588.2000000000003, 567.941)",2,0.13
1727720833.352237,2585.895,2585.89,2585.9,500,500,"(0.9846035501941545, 1727720823.089945)","(0.9846035501941545, 1727720823.089945)","(-0.007698224902922842, 1727720804.882641)","(2497.0, 1000.0)","(2628.0, 380.052)",5,2.05260436
1727720863.8386734,2586.565,2586.56,2586.57,500,500,"(-1.0, 1727720834.45123)","(-0.006825582203095521, 1727720834.45123)","(-1.0, 1727720834.45123)","(2497.0, 1000.0)","(2628.0, 380.052)",2,1.3245287700000001
1727720894.2930834,2582.7299999999996,2582.72,2582.74,500,500,"(-0.5211448179597895, 1727720890.119355)","(-0.5211448179597895, 1727720890.119355)","(-0.7605724089798948, 1727720871.164784)","(2497.0, 1000.0)","(2628.0, 380.052)",5,1.7337205300000003
1727720924.8729444,2582.725,2582.72,2582.73,500,500,"(-0.12617265933931784, 1727720920.392211)","(0.15864680687802507, 1727720902.175938)","(-0.40306035794431466, 1727720902.476001)","(2497.0, 1000.0)","(2628.0, 380.052)",5,2.3475221299999998
1727720955.5005555,2585.1549999999997,2585.15,2585.16,500,500,"(-1.0, 1727720931.421383)","(-1.0, 1727720931.421383)","(-1.0, 1727720931.421383)","(2497.0, 1000.0)","(2628.0, 380.052)",1,1.5300748
1727720986.0368006,2582.725,2582.72,2582.73,500,500,"(-0.9942773374509833, 1727720976.97627)","(0.002861331274508394, 1727720969.183945)","(-0.9942773374509833, 1727720976.97627)","(2497.0, 1000.0)","(2582.8, 442.54200000000003)",2,1.3137591
1727721016.5649,2581.315,2581.31,2581.32,500,500,"(-0.9974070239532182, 1727721014.926597)","(-0.22498055900158798, 1727721004.90459)","(-0.9974070239532182, 1727721014.926597)","(2497.0, 1000.0)","(2628.0, 380.052)",5,5.789363160000001
1727721047.070357,2578.995,2578.99,2579.0,500,500,"(-0.3198445002310441, 1727721027.489145)","(-0.01899026632780039, 1727721020.348859)","(-0.6561370759344278, 1727721021.168871)","(2497.0, 1000.0)","(2620.0, 517.069)",19,11.762016189999999
1727721077.7797272,2578.995,2578.99,2579.0,500,500,"(1.0, 1727721073.839479)","(1.0, 1727721073.839479)","(0.03646943394403313, 1727721047.293011)","(2497.0, 1000.0)","(2620.0, 517.069)",4,0.42473732999999997
