{'timestamp': 1727788956.5102906, 'mid_price': 2615.105, 'best_bid': 2615.1, 'best_ask': 2615.11, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727788952.528696), 'max_delta': (1.0, 1727788952.528696), 'min_delta': (0.9834478948024167, 1727788926.138876), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 3, 'trades_vol': 0.6202667199999999}
{'timestamp': 1727788987.0783699, 'mid_price': 2615.105, 'best_bid': 2615.1, 'best_ask': 2615.11, 'bids': 500, 'asks': 500, 'curr_delta': 0, 'max_delta': 0, 'min_delta': 0, 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2615.2000000000003, 422.092), 'trades': 0, 'trades_vol': 0.0}
{'timestamp': 1727789017.5789204, 'mid_price': 2614.2349999999997, 'best_bid': 2614.23, 'best_ask': 2614.24, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789009.656785), 'max_delta': (1.0, 1727789009.656785), 'min_delta': (1.0, 1727789009.656785), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 1, 'trades_vol': 0.00925867}
{'timestamp': 1727789048.1043458, 'mid_price': 2614.045, 'best_bid': 2614.04, 'best_ask': 2614.05, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789045.915334), 'max_delta': (1.0, 1727789045.915334), 'min_delta': (0.02488135017153825, 1727789019.926658), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 3, 'trades_vol': 0.08038149}
{'timestamp': 1727789078.572572, 'mid_price': 2614.045, 'best_bid': 2614.04, 'best_ask': 2614.05, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789070.278433), 'max_delta': (1.0, 1727789070.278433), 'min_delta': (0.258576004995921, 1727789057.249334), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 3, 'trades_vol': 0.31488088000000003}
{'timestamp': 1727789109.288121, 'mid_price': 2614.045, 'best_bid': 2614.04, 'best_ask': 2614.05, 'bids': 500, 'asks': 500, 'curr_delta': 0, 'max_delta': 0, 'min_delta': 0, 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 0, 'trades_vol': 0.0}
{'timestamp': 1727789139.7289877, 'mid_price': 2611.115, 'best_bid': 2611.11, 'best_ask': 2611.12, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789129.026144), 'max_delta': (-0.6552510968930216, 1727789111.809981), 'min_delta': (-1.0, 1727789129.026144), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2611.2000000000003, 421.469), 'trades': 5, 'trades_vol': 0.9309408299999999}
{'timestamp': 1727789170.269539, 'mid_price': 2611.125, 'best_bid': 2611.12, 'best_ask': 2611.13, 'bids': 500, 'asks': 500, 'curr_delta': (-0.8951006411804392, 1727789147.291088), 'max_delta': (0.05244967940978033, 1727789141.466832), 'min_delta': (-0.8951006411804392, 1727789147.291088), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 2, 'trades_vol': 0.76232363}
{'timestamp': 1727789200.7192461, 'mid_price': 2612.335, 'best_bid': 2612.33, 'best_ask': 2612.34, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789188.820977), 'max_delta': (1.0, 1727789188.820977), 'min_delta': (0.013851258484138148, 1727789170.123936), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 5, 'trades_vol': 0.6912296099999998}
{'timestamp': 1727789231.1537397, 'mid_price': 2613.455, 'best_bid': 2613.45, 'best_ask': 2613.46, 'bids': 500, 'asks': 500, 'curr_delta': (-0.020461071914030633, 1727789225.515261), 'max_delta': (0.2994820573579669, 1727789225.337825), 'min_delta': (-0.19028740668501776, 1727789207.471432), 'bid_vpoc': (2568.0, 1000.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 9, 'trades_vol': 2.03161106}
{'timestamp': 1727789261.6830394, 'mid_price': 2612.785, 'best_bid': 2612.78, 'best_ask': 2612.79, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727789252.789974), 'max_delta': (1.0, 1727789252.789974), 'min_delta': (0.1878527745101697, 1727789247.277148), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2612.8, 548.993), 'trades': 3, 'trades_vol': 0.9603779899999999}
{'timestamp': 1727789292.2308443, 'mid_price': 2610.535, 'best_bid': 2610.53, 'best_ask': 2610.54, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0000000000000002, 1727789282.409548), 'max_delta': (-0.0025799076710899616, 1727789263.470217), 'min_delta': (-1.0000000000000002, 1727789282.409548), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2610.6000000000004, 577.085), 'trades': 19, 'trades_vol': 103.08260755999997}
{'timestamp': 1727789322.7466977, 'mid_price': 2610.535, 'best_bid': 2610.53, 'best_ask': 2610.54, 'bids': 500, 'asks': 500, 'curr_delta': (0.5921112655152013, 1727789320.20318), 'max_delta': (0.5921112655152013, 1727789320.20318), 'min_delta': (0.007488383821210174, 1727789299.860469), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 7, 'trades_vol': 2.1232886}
{'timestamp': 1727789353.193196, 'mid_price': 2609.4049999999997, 'best_bid': 2609.4, 'best_ask': 2609.41, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727789350.801671), 'max_delta': (-6.645905254801269e-06, 1727789342.049022), 'min_delta': (-1.0, 1727789350.801671), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 38, 'trades_vol': 360.53628635}
{'timestamp': 1727789383.7541637, 'mid_price': 2607.995, 'best_bid': 2607.99, 'best_ask': 2608.0, 'bids': 500, 'asks': 500, 'curr_delta': (-0.999491491375382, 1727789381.563438), 'max_delta': (-7.866078707635486e-06, 1727789353.10416), 'min_delta': (-0.9995061860770872, 1727789377.253372), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2650.4, 516.4590000000001), 'trades': 43, 'trades_vol': 264.08838217999994}
